ParticipantName	Condition	Group	AA	AB	AC	AX	BA	BB	BC	BX	CA	CB	CC	CX	XA	XB	XC	XX	total
LM	LP	T	5	1	0	1	2	7	1	7	0	2	16	11	4	9	12	29	107
ML	LP	T	7	6	0	1	5	19	2	5	3	3	7	2	4	6	6	4	80
MRG_UP	LP	U	6	4	2	4	4	13	4	10	5	3	11	6	4	11	6	14	107
MS	LP	T	10	2	0	1	5	5	1	1	1	2	9	2	4	4	3	7	57
RF	LP	T	2	2	0	5	3	3	0	5	0	2	1	5	7	4	4	19	62
SG	LP	T	8	3	0	0	6	10	1	3	1	4	11	3	3	3	8	1	65
SH	LP	T	5	0	1	0	2	8	1	0	2	2	3	3	2	2	3	3	37
SK	LP	T	3	3	0	1	5	6	0	7	2	2	2	1	4	5	3	14	58
SMB_UP	LP	U	3	3	0	4	4	6	1	4	0	3	3	4	6	6	6	12	65
TMC_UP	LP	U	8	3	0	5	4	7	1	7	1	3	10	5	7	8	8	7	84
TZ	LP	T	3	3	0	3	5	9	1	6	0	3	7	8	4	7	9	10	78
VAS_UP	LP	U	3	2	0	1	3	11	2	10	1	5	16	8	3	8	13	22	108
VMR_UP	LP	U	3	1	0	2	4	6	0	8	1	2	10	7	2	9	9	23	87
ZW	LP	T	5	2	0	7	2	6	3	7	1	2	22	9	7	9	9	18	109
